Item,Year,Value,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR_SUM,RH2M,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M
Barley,2000,4637.7,0.29,0.29,0.09,27.1,23.41,43.78,0.61,43.17,3.44
Dates,2000,5158.6,0.29,0.29,0.09,27.1,23.41,43.78,0.61,43.17,3.44
Wheat,2000,4264.0,0.29,0.29,0.09,27.1,23.41,43.78,0.61,43.17,3.44
Barley,2001,5115.3,0.29,0.29,0.09,12.46,22.32,44.56,-0.93,45.49,3.37
Dates,2001,5879.9,0.29,0.29,0.09,12.46,22.32,44.56,-0.93,45.49,3.37
Wheat,2001,4908.1,0.29,0.29,0.09,12.46,22.32,44.56,-0.93,45.49,3.37
Barley,2002,5415.1,0.29,0.29,0.11,31.52,23.53,44.45,0.58,43.87,3.25
Dates,2002,5926.2,0.29,0.29,0.11,31.52,23.53,44.45,0.58,43.87,3.25
Wheat,2002,4887.5,0.29,0.29,0.11,31.52,23.53,44.45,0.58,43.87,3.25
Barley,2003,6126.2,0.29,0.29,0.1,10.98,22.82,44.35,0.31,44.04,3.23
Dates,2003,6251.5,0.29,0.29,0.1,10.98,22.82,44.35,0.31,44.04,3.23
Wheat,2003,4884.9,0.29,0.29,0.1,10.98,22.82,44.35,0.31,44.04,3.23
Barley,2004,6768.2,0.3,0.3,0.13,80.09,24.6,43.24,0.61,42.63,3.29
Dates,2004,6325.9,0.3,0.3,0.13,80.09,24.6,43.24,0.61,42.63,3.29
Wheat,2004,5306.6,0.3,0.3,0.13,80.09,24.6,43.24,0.61,42.63,3.29
Barley,2005,6343.5,0.29,0.29,0.1,23.39,23.98,44.37,-0.61,44.98,3.22
Dates,2005,6438.0,0.29,0.29,0.1,23.39,23.98,44.37,-0.61,44.98,3.22
Wheat,2005,5417.5,0.29,0.29,0.1,23.39,23.98,44.37,-0.61,44.98,3.22
Barley,2006,6200.0,0.29,0.29,0.1,22.43,25.57,43.96,-0.83,44.79,3.45
Dates,2006,6410.9,0.29,0.29,0.1,22.43,25.57,43.96,-0.83,44.79,3.45
Wheat,2006,5617.2,0.29,0.29,0.1,22.43,25.57,43.96,-0.83,44.79,3.45
Barley,2007,6222.2,0.29,0.29,0.1,20.72,23.12,44.5,-1.58,46.08,3.34
Dates,2007,6309.1,0.29,0.29,0.1,20.72,23.12,44.5,-1.58,46.08,3.34
Wheat,2007,5684.4,0.29,0.29,0.1,20.72,23.12,44.5,-1.58,46.08,3.34
Barley,2008,6107.5,0.29,0.29,0.1,36.13,22.55,43.19,-4.19,47.38,3.23
Dates,2008,6279.9,0.29,0.29,0.1,36.13,22.55,43.19,-4.19,47.38,3.23
Wheat,2008,6087.7,0.29,0.29,0.1,36.13,22.55,43.19,-4.19,47.38,3.23
Barley,2009,5888.0,0.29,0.29,0.1,20.33,23.09,42.97,-2.11,45.08,3.25
Dates,2009,6122.3,0.29,0.29,0.1,20.33,23.09,42.97,-2.11,45.08,3.25
Wheat,2009,5883.3,0.29,0.29,0.1,20.33,23.09,42.97,-2.11,45.08,3.25
Barley,2010,6927.7,0.29,0.29,0.09,15.59,21.18,44.44,0.9,43.54,3.14
Dates,2010,6392.2,0.29,0.29,0.09,15.59,21.18,44.44,0.9,43.54,3.14
Wheat,2010,6147.4,0.29,0.29,0.09,15.59,21.18,44.44,0.9,43.54,3.14
Barley,2011,6835.2,0.29,0.29,0.09,21.12,25.18,43.81,2.64,41.17,3.27
Dates,2011,6461.3,0.29,0.29,0.09,21.12,25.18,43.81,2.64,41.17,3.27
Wheat,2011,6142.9,0.29,0.29,0.09,21.12,25.18,43.81,2.64,41.17,3.27
Barley,2012,6676.6,0.29,0.29,0.09,20.2,24.24,44.34,-1.63,45.97,3.38
Dates,2012,6573.8,0.29,0.29,0.09,20.2,24.24,44.34,-1.63,45.97,3.38
Wheat,2012,5925.4,0.29,0.29,0.09,20.2,24.24,44.34,-1.63,45.97,3.38
Barley,2013,7501.3,0.29,0.29,0.11,28.4,23.47,44.05,0.73,43.32,3.38
Dates,2013,6979.9,0.29,0.29,0.11,28.4,23.47,44.05,0.73,43.32,3.38
Wheat,2013,6433.3,0.29,0.29,0.11,28.4,23.47,44.05,0.73,43.32,3.38
Barley,2014,5889.0,0.29,0.29,0.11,28.02,25.43,43.33,0.74,42.59,3.31
Dates,2014,6122.3,0.29,0.29,0.11,28.02,25.43,43.33,0.74,42.59,3.31
Wheat,2014,5880.0,0.29,0.29,0.11,28.02,25.43,43.33,0.74,42.59,3.31
Barley,2015,6835.0,0.29,0.29,0.09,7.03,23.81,43.1,-2.13,45.23,3.33
Dates,2015,9490.6,0.29,0.29,0.09,7.03,23.81,43.1,-2.13,45.23,3.33
Wheat,2015,6142.0,0.29,0.29,0.09,7.03,23.81,43.1,-2.13,45.23,3.33
Barley,2016,6676.0,0.3,0.3,0.11,74.64,25.13,44.86,-1.6,46.46,3.19
Dates,2016,10330.2,0.3,0.3,0.11,74.64,25.13,44.86,-1.6,46.46,3.19
Wheat,2016,5925.0,0.3,0.3,0.11,74.64,25.13,44.86,-1.6,46.46,3.19
Barley,2017,6700.0,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Dates,2017,10752.9,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Lemons and limes,2017,19888.8,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Olives,2017,9695.2,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Wheat,2017,6433.3,0.3,0.3,0.13,17.89,24.54,44.21,-4.31,48.52,3.32
Barley,2018,6655.6,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Dates,2018,11219.5,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Lemons and limes,2018,19891.5,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Olives,2018,11927.3,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Wheat,2018,6533.4,0.29,0.29,0.09,13.64,26.16,43.92,0.36,43.56,3.32
Barley,2019,6654.9,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Dates,2019,12861.5,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Lemons and limes,2019,19891.5,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Olives,2019,15230.2,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Wheat,2019,5902.3,0.29,0.29,0.08,3.55,25.14,44.39,2.16,42.23,3.29
Barley,2020,5373.9,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Dates,2020,10096.4,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Lemons and limes,2020,20000.0,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Olives,2020,11774.7,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Wheat,2020,6375.5,0.29,0.29,0.11,47.74,24.46,45.0,-1.23,46.23,3.26
Barley,2021,5405.4,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Dates,2021,10252.0,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Lemons and limes,2021,19784.1,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Olives,2021,11991.7,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Wheat,2021,6700.0,0.29,0.29,0.1,18.81,23.47,44.66,1.5,43.16,3.28
Barley,2022,5498.7,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Dates,2022,10294.8,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Lemons and limes,2022,19837.3,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Olives,2022,12047.7,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
Wheat,2022,6800.0,0.29,0.29,0.08,11.85,22.87,44.52,0.62,43.9,3.37
